,Cities,Country,Date Time,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,1590014893.0,45.09,-46.19,168.86,61.0,100.0,5.55
1,São João da Barra,BR,1590014896.0,71.47,-21.64,-41.05,74.0,1.0,11.12
2,New Norfolk,AU,1590014899.0,48.99,-42.78,147.06,69.0,14.0,1.99
3,Kangaatsiaq,GL,1590014902.0,39.25,68.31,-53.46,72.0,37.0,12.93
4,Cafelândia,BR,1590014905.0,67.71,-21.8,-49.61,79.0,6.0,6.38
5,Barrow,US,1590014908.0,24.8,71.29,-156.79,79.0,90.0,12.75
6,Ilulissat,GL,1590014911.0,37.4,69.22,-51.1,59.0,0.0,8.05
7,Okha,RU,1590014731.0,38.26,53.57,142.95,82.0,99.0,12.17
8,Punta Arenas,CL,1590014917.0,39.2,-53.15,-70.92,86.0,75.0,11.41
9,Kikwit,CD,1590014921.0,72.14,-5.04,18.82,68.0,0.0,1.72
10,Ormara,PK,1590014924.0,84.51,25.21,64.64,68.0,47.0,7.23
11,Qaanaaq,GL,1590014927.0,32.29,77.48,-69.36,93.0,90.0,4.54
12,Port Hedland,AU,1590014930.0,64.4,-20.32,118.57,31.0,0.0,10.29
13,Bilibino,RU,1590014933.0,28.9,68.05,166.44,92.0,73.0,5.12
14,Trebinje,BA,1590014904.0,62.6,42.71,18.34,88.0,12.0,1.12
15,Jalgaon,IN,1590014939.0,79.41,21.02,75.57,69.0,31.0,13.65
16,Bluff,NZ,1590014807.0,53.92,-46.6,168.33,63.0,100.0,23.89
17,Rikitea,PF,1590014945.0,76.39,-23.12,-134.97,78.0,76.0,19.33
18,Busselton,AU,1590014949.0,45.0,-33.65,115.33,70.0,0.0,5.1
19,Ushuaia,AR,1590014952.0,39.2,-54.8,-68.3,84.0,75.0,6.93
20,Vanavara,RU,1590014955.0,53.91,60.34,102.28,56.0,0.0,6.31
21,Clyde River,CA,1590014828.0,23.0,70.47,-68.59,92.0,90.0,14.99
